IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(M),地区码,端口
104.24.57.254,4,4,0,180.48,0.00,SJC,443
103.21.244.206,4,3,25,191.13,0.00,LAX,443
104.17.75.240,4,4,0,181.22,0.00,SJC,443
104.16.176.214,4,3,25,160.10,0.00,SJC,443
104.25.150.98,4,3,25,191.84,0.00,LAX,443
162.159.246.245,4,3,25,186.93,0.00,LAX,443
198.41.205.207,4,3,25,192.02,0.00,SJC,443
162.159.44.10,4,4,0,190.93,0.00,LAX,443
104.16.218.12,4,3,25,163.38,0.00,SJC,443
103.21.244.240,4,4,0,189.75,0.00,SJC,443
104.18.195.191,4,4,0,176.64,0.00,SJC,443
104.26.13.164,4,3,25,171.55,0.00,SEA,443
104.19.161.126,4,4,0,182.91,0.00,SEA,443
104.25.192.76,4,3,25,182.51,0.00,LAX,443
104.19.115.200,4,3,25,185.11,0.00,LAX,443
198.41.222.145,4,4,0,182.53,0.00,LAX,443
173.245.59.84,4,4,0,192.28,0.00,HKG,443
198.41.197.48,4,3,25,202.60,0.00,LAX,443
104.24.51.186,4,4,0,192.25,0.00,LAX,443
104.24.189.202,4,4,0,193.47,0.00,SJC,443
104.27.196.83,4,4,0,186.45,0.00,LAX,443
104.25.121.78,4,3,25,193.03,0.00,SJC,443
104.24.95.233,4,4,0,191.60,0.00,LAX,443
104.18.236.89,4,3,25,183.12,0.00,SJC,443
188.114.96.116,4,4,0,187.11,0.00,LAX,443
104.19.26.5,4,3,25,183.83,0.00,LAX,443
173.245.58.199,4,3,25,193.70,0.00,LAX,443
198.41.206.23,4,3,25,181.90,0.00,HKG,443
172.67.144.235,4,3,25,172.17,0.00,SEA,443
188.114.97.168,4,3,25,189.04,0.00,SJC,443
141.101.122.21,4,3,25,189.26,0.00,LAX,443
104.27.75.121,4,3,25,193.63,0.00,LAX,443
188.114.98.16,4,3,25,187.30,0.00,LAX,443
162.159.15.250,4,3,25,184.39,0.00,LAX,443
188.114.97.8,4,4,0,185.60,0.00,LAX,443
104.25.187.129,4,3,25,186.47,0.00,LAX,443
198.41.196.211,4,3,25,207.19,0.00,HKG,443
104.19.144.75,4,4,0,45.64,0.00,HKG,443
104.25.218.27,4,4,0,183.77,0.00,LAX,443
104.24.43.50,4,3,25,181.12,0.00,LAX,443
104.21.200.87,4,3,25,179.04,0.00,LAX,443
104.27.93.7,4,3,25,194.76,0.00,LAX,443
103.21.244.111,4,3,25,183.92,0.00,LAX,443
104.18.140.161,4,4,0,191.97,0.00,SJC,443
103.31.4.236,4,3,25,201.54,0.00,DEN,443
104.24.5.165,4,4,0,184.14,0.00,LAX,443
104.27.80.23,4,3,25,186.58,0.00,LAX,443
104.16.239.194,4,3,25,163.46,0.00,SJC,443
190.93.244.243,4,3,25,197.39,0.00,HKG,443
141.101.122.220,4,3,25,175.15,0.00,LAX,443
104.27.117.206,4,4,0,173.52,0.00,LAX,443
198.41.200.179,4,3,25,190.55,0.00,LAX,443
198.41.216.33,4,4,0,190.50,0.00,LAX,443
162.159.6.106,4,4,0,188.97,0.00,LAX,443
104.27.99.32,4,3,25,181.29,0.00,SJC,443
198.41.215.208,4,3,25,187.84,0.00,SJC,443
103.21.244.211,4,4,0,197.65,0.00,LAX,443
104.21.80.164,4,3,25,192.72,0.00,SJC,443
172.67.250.182,4,3,25,191.67,0.00,LAX,443
173.245.58.21,4,3,25,181.74,0.00,LAX,443
104.24.93.4,4,4,0,178.57,0.00,SJC,443
141.101.121.127,4,3,25,191.84,0.00,LAX,443
103.31.4.103,4,3,25,203.88,0.00,DEN,443
188.114.97.73,4,3,25,193.10,0.00,LAX,443
173.245.58.66,4,4,0,185.42,0.00,SJC,443
162.159.134.114,4,4,0,53.45,0.00,NRT,443
162.159.19.208,4,3,25,195.77,0.00,SJC,443
104.16.44.172,4,3,25,171.88,0.00,SEA,443
104.17.181.212,4,4,0,55.92,0.00,HKG,443
104.18.6.223,4,3,25,181.59,0.00,SEA,443
104.19.246.202,4,3,25,182.82,0.00,SJC,443
104.18.102.231,4,3,25,171.52,0.00,SJC,443
104.18.198.182,4,3,25,172.82,0.00,SJC,443
108.162.196.38,4,3,25,189.80,0.00,LAX,443
141.101.120.201,4,3,25,194.65,0.00,LAX,443
198.41.215.234,4,3,25,180.75,0.00,LAX,443
104.25.213.227,4,3,25,182.62,0.00,LAX,443
104.27.120.73,4,4,0,181.06,0.00,LAX,443
104.27.1.7,4,4,0,174.94,0.00,SJC,443
173.245.58.152,4,4,0,185.99,0.00,LAX,443
172.67.79.124,4,3,25,182.90,0.00,SEA,443
104.27.207.174,4,4,0,182.67,0.00,LAX,443
104.17.6.190,4,3,25,183.15,0.00,SJC,443
104.17.153.122,4,4,0,45.09,0.00,HKG,443
172.66.211.53,4,4,0,184.41,0.00,LAX,443
104.16.49.37,4,3,25,151.57,0.00,SEA,443
104.21.213.117,4,3,25,189.29,0.00,LAX,443
104.20.34.28,4,4,0,182.52,0.00,LAX,443
104.18.153.218,4,4,0,88.13,0.00,HKG,443
173.245.59.27,4,4,0,189.46,0.00,LAX,443
104.24.195.159,4,3,25,175.13,0.00,LAX,443
103.31.4.60,4,4,0,204.29,0.00,DEN,443
162.159.130.232,4,4,0,41.70,0.00,NRT,443
162.159.207.84,4,3,25,180.17,0.00,LAX,443
162.159.143.235,4,3,25,49.63,0.00,NRT,443
104.17.151.238,4,3,25,43.34,0.00,HKG,443
162.159.46.157,4,4,0,189.90,0.00,SJC,443
104.21.125.227,4,4,0,187.94,0.00,LAX,443
103.31.4.85,4,4,0,191.29,0.00,DEN,443
104.25.9.154,4,4,0,183.09,0.00,LAX,443
190.93.246.47,4,3,25,141.35,0.00,SJC,443
104.19.243.148,4,4,0,169.61,0.00,SJC,443
188.114.98.47,4,3,25,187.09,0.00,LAX,443
141.101.115.90,4,4,0,70.60,0.00,SJC,443
104.17.106.44,4,4,0,88.41,0.00,HKG,443
190.93.244.93,4,3,25,142.61,0.00,HKG,443
198.41.211.247,4,4,0,114.13,0.00,HKG,443
104.24.241.158,4,3,25,192.69,0.00,LAX,443
104.27.73.47,4,3,25,174.30,0.00,LAX,443
103.21.244.99,4,3,25,179.67,0.00,LAX,443
190.93.247.3,4,4,0,77.43,0.00,SJC,443
173.245.59.128,4,4,0,150.22,0.00,LAX,443
104.21.208.196,4,4,0,189.90,0.00,SJC,443
104.25.252.0,4,4,0,38.74,0.00,HKG,443
104.19.180.97,4,3,25,195.12,0.00,SJC,443
104.19.24.39,4,3,25,181.20,0.00,LAX,443
162.159.44.62,4,3,25,192.44,0.00,LAX,443
162.159.142.215,4,4,0,41.68,0.00,NRT,443
104.16.63.117,4,3,25,182.71,0.00,SEA,443
104.17.136.212,4,4,0,153.89,0.00,SJC,443
104.18.116.253,4,4,0,242.61,0.00,LHR,443
198.41.222.192,4,4,0,196.22,0.00,LAX,443
104.27.38.199,4,4,0,186.70,0.00,LAX,443
104.26.8.188,4,3,25,172.05,0.00,SEA,443
104.16.143.102,4,3,25,227.15,0.00,LHR,443
172.65.190.82,4,3,25,245.12,0.00,FRA,443
188.114.98.226,4,3,25,190.09,0.00,SJC,443
104.18.133.84,4,4,0,183.32,0.00,SJC,443
188.114.96.59,4,4,0,177.06,0.00,LAX,443
104.27.21.62,4,3,25,194.16,0.00,LAX,443
108.162.195.210,4,4,0,130.75,0.00,LAX,443
173.245.58.216,4,3,25,190.26,0.00,LAX,443
198.41.200.158,4,4,0,159.20,0.00,SJC,443
104.25.248.159,4,3,25,38.29,0.00,HKG,443
141.101.120.138,4,3,25,175.63,0.00,LAX,443
190.93.247.10,4,3,25,70.57,0.00,SJC,443
190.93.246.105,4,4,0,62.45,0.00,SJC,443
103.31.4.128,4,3,25,199.78,0.00,DEN,443
188.114.99.146,4,4,0,189.04,0.00,SJC,443
104.19.145.250,4,3,25,94.67,0.00,HKG,443
188.114.98.75,4,3,25,188.84,0.00,LAX,443
104.18.15.71,4,4,0,174.99,0.00,SEA,443
104.21.68.151,4,4,0,178.58,0.00,SJC,443
190.93.244.224,4,3,25,171.50,0.00,HKG,443
104.27.199.177,4,4,0,183.15,0.00,LAX,443
173.245.49.205,4,3,25,188.50,0.00,LAX,443
104.18.121.3,4,3,25,199.65,0.00,LHR,443
104.24.182.178,4,4,0,190.40,0.00,SJC,443
104.27.28.177,4,3,25,187.30,0.00,LAX,443
104.18.168.224,4,4,0,101.40,0.00,SJC,443
188.114.96.71,4,3,25,179.93,0.00,LAX,443
104.18.128.53,4,4,0,191.92,0.00,SJC,443
172.66.150.80,4,4,0,176.01,0.00,SJC,443
104.24.175.130,4,4,0,190.87,0.00,SJC,443
104.17.187.115,4,4,0,66.98,0.00,HKG,443
104.17.108.12,4,4,0,87.24,0.00,HKG,443
162.159.35.75,4,3,25,179.56,0.00,LAX,443
104.25.37.28,4,4,0,173.83,0.00,SJC,443
190.93.244.59,4,4,0,77.51,0.00,SJC,443
104.27.27.64,4,3,25,171.56,0.00,LAX,443
104.25.6.50,4,3,25,186.82,0.00,LAX,443
104.17.210.101,4,3,25,95.10,0.00,HKG,443
104.27.27.33,4,3,25,178.46,0.00,LAX,443
104.24.231.92,4,3,25,174.15,0.00,LAX,443
190.93.245.125,4,4,0,144.60,0.00,HKG,443
103.21.244.43,4,4,0,168.77,0.00,HKG,443
188.114.99.15,4,4,0,171.26,0.00,SJC,443
104.19.5.74,4,3,25,191.84,0.00,LAX,443
190.93.245.241,4,3,25,88.89,0.00,HKG,443
104.25.160.54,4,3,25,189.73,0.00,LAX,443
104.25.234.178,4,4,0,192.34,0.00,SJC,443
104.27.10.208,4,3,25,190.90,0.00,LAX,443
104.24.80.86,4,3,25,179.19,0.00,LAX,443
172.64.154.199,4,4,0,102.07,0.00,HKG,443
162.159.129.48,4,4,0,47.64,0.00,NRT,443
104.25.197.48,4,3,25,192.29,0.00,SJC,443
198.41.201.169,4,3,25,181.79,0.00,SJC,443
104.16.240.15,4,4,0,72.08,0.00,HKG,443
104.24.160.210,4,4,0,190.80,0.00,LAX,443
104.27.28.99,4,3,25,176.88,0.00,LAX,443
104.24.245.73,4,4,0,187.87,0.00,LAX,443
104.16.82.52,4,4,0,184.04,0.00,SJC,443
103.21.244.12,4,4,0,189.41,0.00,LAX,443
104.19.25.255,4,4,0,191.24,0.00,LAX,443
104.19.177.119,4,3,25,172.78,0.00,SJC,443
104.25.35.156,4,4,0,182.30,0.00,LAX,443
188.114.99.111,4,4,0,194.79,0.00,LAX,443
190.93.246.28,4,4,0,101.46,0.00,SJC,443
104.24.205.207,4,3,25,170.94,0.00,SJC,443
141.101.121.199,4,3,25,190.35,0.00,SJC,443
141.101.121.236,4,4,0,150.34,0.00,SJC,443
103.21.244.101,4,4,0,135.57,0.00,LAX,443
141.101.114.37,4,4,0,154.99,0.00,SJC,443
104.18.83.9,4,4,0,90.66,0.00,HKG,443
104.16.67.141,4,4,0,176.21,0.00,SJC,443
162.159.19.42,4,3,25,191.41,0.00,HKG,443
162.159.243.186,4,3,25,185.82,0.00,LAX,443
190.93.247.182,4,3,25,141.22,0.00,SJC,443
104.19.24.55,4,4,0,182.22,0.00,SJC,443
172.64.33.113,4,3,25,188.22,0.00,LAX,443
104.20.2.12,4,4,0,175.60,0.00,LAX,443
190.93.246.118,4,4,0,132.63,0.00,SJC,443
108.162.196.114,4,4,0,186.64,0.00,LAX,443
104.19.2.101,4,3,25,191.51,0.00,SJC,443
104.18.100.205,4,3,25,184.30,0.00,SJC,443
108.162.192.91,4,4,0,189.46,0.00,LAX,443
190.93.247.169,4,3,25,131.96,0.00,HKG,443
104.25.248.43,4,4,0,38.65,0.00,LHR,443
104.18.252.253,4,3,25,162.32,0.00,SJC,443
141.101.122.212,4,3,25,183.89,0.00,LAX,443
104.25.211.135,4,3,25,195.01,0.00,LAX,443
104.24.161.117,4,4,0,173.36,0.00,LAX,443
104.27.25.46,4,3,25,189.48,0.00,LAX,443
108.162.196.181,4,3,25,90.24,0.00,HKG,443
173.245.59.246,4,4,0,157.09,0.00,HKG,443
104.16.168.140,4,4,0,175.94,0.00,SJC,443
198.41.216.105,4,3,25,183.08,0.00,LAX,443
188.114.96.75,4,3,25,191.79,0.00,LAX,443
108.162.192.30,4,4,0,115.54,0.00,LAX,443
104.25.167.233,4,3,25,179.28,0.00,LAX,443
141.101.122.147,4,4,0,191.48,0.00,LAX,443
104.19.132.217,4,3,25,166.44,0.00,LAX,443
188.114.96.225,4,3,25,180.84,0.00,LAX,443
104.27.62.8,4,4,0,178.10,0.00,LAX,443
173.245.59.211,4,4,0,180.87,0.00,LAX,443
188.114.96.247,4,3,25,184.40,0.00,LAX,443
108.162.193.228,4,4,0,180.65,0.00,HKG,443
188.114.98.141,4,4,0,174.99,0.00,LAX,443
103.21.244.133,4,3,25,142.30,0.00,LAX,443
104.24.61.138,4,4,0,189.23,0.00,LAX,443
103.21.244.93,4,4,0,147.61,0.00,LAX,443
104.25.251.96,4,4,0,84.64,0.00,HKG,443
188.114.98.123,4,3,25,190.81,0.00,SJC,443
162.159.26.154,4,4,0,187.48,0.00,LAX,443
190.93.246.4,4,4,0,162.21,0.00,SJC,443
104.19.111.38,4,3,25,185.09,0.00,SJC,443
104.24.148.183,4,3,25,181.72,0.00,LAX,443
173.245.59.206,4,3,25,87.34,0.00,LAX,443
162.159.243.39,4,4,0,186.42,0.00,HKG,443
104.18.31.246,4,3,25,200.28,0.00,LHR,443
104.17.64.229,4,4,0,161.55,0.00,SJC,443
104.19.249.155,4,3,25,191.21,0.00,SJC,443
162.159.15.52,4,3,25,179.15,0.00,LAX,443
104.17.224.122,4,3,25,172.25,0.00,SEA,443
104.25.159.242,4,4,0,179.26,0.00,LAX,443
190.93.244.241,4,4,0,101.20,0.00,HKG,443
104.18.75.60,4,3,25,183.40,0.00,SEA,443
190.93.246.81,4,3,25,89.71,0.00,HKG,443
108.162.194.147,4,4,0,187.90,0.00,HKG,443
104.16.159.152,4,3,25,44.08,0.00,HKG,443
104.25.252.100,4,3,25,39.23,0.00,HKG,443
104.26.5.188,4,4,0,173.84,0.00,SEA,443
104.24.238.43,4,3,25,185.41,0.00,LAX,443
173.245.49.228,4,4,0,152.86,0.00,LAX,443
103.31.4.5,4,4,0,208.12,0.00,DEN,443
173.245.59.243,4,4,0,146.63,0.00,LAX,443
198.41.193.34,4,4,0,150.53,0.00,LAX,443
104.16.44.156,4,3,25,182.49,0.00,SEA,443
104.21.56.254,4,4,0,189.47,0.00,SJC,443
188.114.97.57,4,3,25,185.78,0.00,LAX,443
104.16.183.194,4,3,25,161.81,0.00,SJC,443
173.245.49.210,4,3,25,178.80,0.00,HKG,443
162.159.46.47,4,3,25,191.30,0.00,LAX,443
